business_id,review_stars,text,useful,funny,cool,name,address,city,state,review_count,business_stars,categories
W6S482dRQ_9nCcLjfv8VNg,2,"I have been to this location a number of times over the years. Bit I haven’t eaten here in about 18 months because of the service. Based on my experience this time 10/1/25. I would not recommend. I arrived 12:45. 2-3 customers already eating and 2 people waiting for there to go orders. A small group of 4 people in front of me. So maybe busy for this place. But not what I would call crazy busy. I placed my order Butter chicken and paid. Had a seat next to a guy and he said to me I hope you’re not in a rush that he’s been waiting 35 minutes about 10 minutes later his food was ready. I waited 45 minutes and asked for my money back. I was told no that my food was ready. Another 5 minutes and he brings my food. The butter chicken was way too salty not edible. I took 2-3 bites and asked again for a refund and was told they couldn’t give me a refund That they would remake my food. But after spending over an hour waiting for my food, I decided it wasn’t worth the time and threw my food in the trash instead. Needless to say, I won’t be returning to this location anytime soon",0,0,0,Bawarchi Indian Restaurant,2909 Concord Pike,Wilmington,DE,2,3.5,"Indian, Chinese, Restaurants"
W6S482dRQ_9nCcLjfv8VNg,1,"I'm very disappointed with the food I received from this hotel. The chicken served was clearly old and close to spoiling — it had a bad smell and poor texture, indicating it was either spoiled or cooked long ago and kept for too long. This is absolutely unacceptable. We work hard to earn our money, and once in a while, we treat ourselves by ordering from places we expect to serve quality food. It's really disheartening to receive such poor-quality food when all we want is a decent meal. Please take this feedback seriously. Do not serve spoiled or leftover chicken again. We expect fresh, hygienic food when we pay for it. I hope this doesn’t happen again.",0,0,0,Bawarchi Indian Restaurant,2910 Concord Pike,Wilmington,DE,2,3.5,"Indian, Chinese, Restaurants"
25btSWnOGwwB2IQMXF7A-A,5,"I love Trader Joe's. They have THE BEST snacks!! The cashiers are always super friendly and helpful, too. And I always grab a selection of their super inexpensive greeting cards, too. This one is a touch small and almost always crowded, but still worth the wait!",0,0,0,Trader Joe's,5605 Concord Pike,Wilmington,DE,2,4.5,"Grocery, Flowers & Gifts, Beer, Wine & Spirits, Specialty Food, Shopping, Florists, Food"
25btSWnOGwwB2IQMXF7A-A,5,"Nice store with lots of unique finds. Fresh produce, healthy foods & snacks. Excellent selection of frozen food and desserts , the Peach Tarts was exceptional.",0,0,0,Trader Joe's,5605 Concord Pike,Wilmington,DE,2,4.5,"Grocery, Flowers & Gifts, Beer, Wine & Spirits, Specialty Food, Shopping, Florists, Food"
5IFqqWJTaPNoY2ZgRlX73w,5,The latte art is always impressive and adds a special touch to the drinks.,0,0,0,Cafe Verdi Restaurant,"12A Trolley Sq, Ste A",Wilmington,DE,2,3,"Restaurants, Italian, Pizza"
5IFqqWJTaPNoY2ZgRlX73w,3,The food is great I would recommend French fries with grilled chicken but the thing is that it is so overpriced I ordered 2 water bottles 4 dollars per bottle way to overpriced,0,0,0,Cafe Verdi Restaurant,"12A Trolley Sq, Ste A",Wilmington,DE,2,3,"Restaurants, Italian, Pizza"
ixsljpxu56VCTtayIELqUg,5,"Best spot to get great, fresh sushi!! Went there on Thursday, Jan 4th, 2023 and found out they have closed their doors! My son and i were heartbroken! If anyone knows if they have relocated somewhere else pls let me know!!",0,0,0,Tokyo Sushi,3 S Orange St,Wilmington,DE,2,3.5,"Sushi Bars, Restaurants"
ixsljpxu56VCTtayIELqUg,2,I just was not a fan of their food. It lacked favor and the rice was over cooked.,0,0,0,Tokyo Sushi,3 S Orange St,Wilmington,DE,2,3.5,"Sushi Bars, Restaurants"
EROSyhoWNCUH53NrDrsHgQ,5,"Mary’s Kitchen located at 222 Main Street Wilmington Delaware 19804 is a hidden gem for anyone who enjoys great food in a welcoming atmosphere. I ordered the Swiss Mushroom Burger and it was absolutely delicious. The burger was cooked perfectly, juicy and full of flavor, with the melted Swiss cheese and sautéed mushrooms adding the perfect savory touch. The bun was fresh and soft, holding everything together without being too heavy. The portion size was generous and every bite was satisfying. The service was friendly and attentive, making the experience even better. The atmosphere inside the restaurant was warm and cozy, a great spot to enjoy a meal with friends or family. Mary’s Kitchen is definitely a place worth visiting if you are in Wilmington.",0,0,0,Mary's Kountry Kitchen,222 Main St,Wilmington,DE,2,4,"Restaurants, American (Traditional), Diners, Breakfast & Brunch"
EROSyhoWNCUH53NrDrsHgQ,3,Food was good and the atmosphere was good too. I was an overwhelmed mama. My three year old wanted to go everywhere. When I was ready to go I don’t think throwing away the food versus packing it up was the way to go. They didn’t even wait before taking it away to the kitchen. At least I can say I came.,0,0,0,Mary's Kountry Kitchen,222 Main St,Wilmington,DE,2,4,"Restaurants, American (Traditional), Diners, Breakfast & Brunch"
ggJXlslLYndvE7n3hgJBCQ,4,"Pretty good place to grab coffee and work. There are many decent workspaces, desks, and even first come first serve private rooms.",0,0,0,Capital One 360 Café,802 Delaware Ave,Wilmington,DE,2,4,"Financial Services, Food, Restaurants, Cafes, Banks & Credit Unions, Coffee & Tea"
